source_ICAO,target_ICAO,airline,source_airport,source_city,source_country,source_IATA,source_latitude,source_longitude,source_AMSL,target_airport,target_city,target_country,target_IATA,target_latitude,target_longitude,target_AMSL
EDDF,LMML,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Malta International Airport,Malta,Malta,MLA,35.857498,14.4775,300
EDFH,LEGR,RyanAir,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.94869995,7.26388979,1649,Federico Garcia Lorca Airport,Granada,Spain,GRX,37.18870163,-3.777359962,1860
EDDF,EGLL,British Airways,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83
EDDF,EGLL,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83
EDDF,EGLC,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,London City Airport,London,United Kingdom,LCY,51.505299,0.055278,19
EDDF,EGSS,RyanAir,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,London Stansted Airport,London,United Kingdom,STN,51.88499832,0.2349999994,348
EDDF,EIDW,Aerlingus,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Dublin Airport,Dublin,Ireland,DUB,53.42129898,-6.270070076,242
EDFH,EIKY,RyanAir,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.94869995,7.26388979,1649,Kerry Airport,Kerry,Ireland,KIR,52.18090057,-9.523779869,112
EDDF,LICC,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Catania-Fontanarossa Airport,Catania,Italy,CTA,37.466801,15.0664,39
EDDF,LGSR,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Santorini Airport,Thira,Greece,JTR,36.39920044,25.47929955,127
EDDF,LGAV,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Eleftherios Venizelos International Airport,Athens,Greece,ATH,37.93640137,23.94449997,308
EGLL,LGSR,Lufthansa,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83,Santorini Airport,Thira,Greece,JTR,36.39920044,25.47929955,127
EDDF,LEBL,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Barcelona International Airport,Barcelona,Spain,BCN,41.29710007,2.078459978,12
EDDF,LOWL,Lufthansa,Frankfurt am Main International Airport,Frankfurt,Germany,FRA,50.0333333,8.5705556,364,Linz Hörsching Airport,Linz,Austria,LNZ,48.2332,14.1875,980
EGLL,EDDT,Lufthansa,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83,Berlin-Tegel International Airport,Berlin,Germany,TXL,52.55970001,13.2876997,122
EGLL,EICK,British Airways,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83,Cork Airport,Cork,Ireland,ORK,51.84130096,-8.491109848,502
EGLL,KJFK,Norwegian,London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83,John F Kennedy International Airport,New York,United States,JFK,40.63980103,-73.77890015,13
